epoch,accuracy,loss,precision,recall,roc_auc,val_accuracy,val_loss,val_precision,val_recall,val_roc_auc,train_eval_loss,train_eval_accuracy,train_eval_precision,train_eval_recall,train_eval_f1,train_eval_roc_auc,val_eval_loss,val_eval_accuracy,val_eval_precision,val_eval_recall,val_eval_f1,val_eval_roc_auc,learning_rate,accuracy_smooth,loss_smooth,precision_smooth,recall_smooth,roc_auc_smooth,val_accuracy_smooth,val_loss_smooth,val_precision_smooth,val_recall_smooth,val_roc_auc_smooth,train_eval_loss_smooth,train_eval_accuracy_smooth,train_eval_precision_smooth,train_eval_recall_smooth,train_eval_f1_smooth,train_eval_roc_auc_smooth,val_eval_loss_smooth,val_eval_accuracy_smooth,val_eval_precision_smooth,val_eval_recall_smooth,val_eval_f1_smooth,val_eval_roc_auc_smooth,learning_rate_smooth
1,0.6492934823036194,0.6852573752403259,0.6203737854957581,0.5833997130393982,0.7062603235244751,0.8556104898452759,0.4451669156551361,0.8729079365730286,0.7900591492652893,0.930522620677948,0.4603908360004425,0.8432777777777778,0.8741022391212505,0.7630931890828621,0.8148342632097145,0.9216710273704024,0.4451669156551361,0.8556104742875171,0.872907949790795,0.7900591715976332,0.8294198037023233,0.9304886696021036,7.999999797903001e-05,0.6492934823036194,0.6852573752403259,0.6203737854957581,0.5833997130393982,0.7062603235244751,0.8556104898452759,0.4451669156551361,0.8729079365730286,0.7900591492652893,0.930522620677948,0.4603908360004425,0.8432777777777778,0.8741022391212505,0.7630931890828621,0.8148342632097145,0.9216710273704024,0.4451669156551361,0.8556104742875171,0.872907949790795,0.7900591715976332,0.8294198037023233,0.9304886696021036,7.999999797903001e-05
2,0.792041003704071,0.5256093144416809,0.7599598169326782,0.7911770343780518,0.8697761297225952,0.8851613998413086,0.3600577712059021,0.8655775785446167,0.8778698444366455,0.9520418047904968,0.3732850253582001,0.882,0.8773229532898041,0.8589869682812884,0.8680581438688035,0.947313181535452,0.3600578308105469,0.8851614260174572,0.8655775962660444,0.8778698224852071,0.8716803760282021,0.952027556674386,7.999999797903001e-05,0.6949726891517639,0.6341699957847595,0.6650413155555726,0.6498884558677673,0.7585853815078736,0.8650667810440062,0.4179319894313812,0.8705622220039368,0.8181585717201232,0.9374087595939636,0.43251697659492494,0.8556688888888889,0.8751328676551877,0.7937791984263585,0.831865905020623,0.9298765167032184,0.41793200850486756,0.865066778841098,0.8705622366628748,0.8181585798816569,0.8429431868466045,0.937381113465234,7.999999797903001e-05
3,0.839239776134491,0.4519073665142059,0.8043866157531738,0.8527683615684509,0.9122074246406556,0.8970448970794678,0.3356394171714782,0.8710562586784363,0.9017751216888428,0.9589450359344482,0.3458729684352875,0.8957777777777778,0.8817715959004392,0.8884927464961888,0.8851194121249234,0.955889986801752,0.3356393575668335,0.8970449048270059,0.8710562414266118,0.901775147928994,0.8861495522735202,0.958931193420799,7.999999797903001e-05,0.7411381569862365,0.5758459544181824,0.709631811618805,0.714810025691986,0.8077444353103638,0.875299778175354,0.39159836630821226,0.8707203137397765,0.8449158677101134,0.9443003680229187,0.40479089398384094,0.8685037333333334,0.8772572606936682,0.8240875338087041,0.8489070272939991,0.9382008271347492,0.3915983602046966,0.8752997791565886,0.8707203181872706,0.8449158816568048,0.8567692237832176,0.9442771390510148,7.999999797903001e-05
4,0.8631890416145325,0.41120246052742,0.8295342326164246,0.8788089752197266,0.9304211139678956,0.9032495617866516,0.3270402550697326,0.8734463453292847,0.9147928953170776,0.9623118042945862,0.3354872167110443,0.9022222222222224,0.8809466889792015,0.906073272682567,0.8933333333333333,0.9598095921293202,0.327040284872055,0.9032495530550004,0.8734463276836159,0.914792899408284,0.8936416184971099,0.9623149935721996,7.999999797903001e-05,0.7801944400672912,0.5231600363731385,0.7480005863380432,0.767289689540863,0.8470009724807739,0.8842437089309692,0.37093977071189876,0.8715926438484192,0.8672765165443419,0.9500640276298524,0.382613717256546,0.8792936497777779,0.8784378777450388,0.8503229702483402,0.8631234452265861,0.9451156319330118,0.3709397760982513,0.8842437068040805,0.871592641226101,0.8672765273372782,0.8685683900916631,0.9500492524977939,7.999999797903001e-05
5,0.8745203614234924,0.3885536789894104,0.8387833833694458,0.8952897787094116,0.9388088583946228,0.9086129069328308,0.3227932751178741,0.8742194175720215,0.9278106689453124,0.963987410068512,0.3298891186714172,0.9066111111111111,0.8811577082102776,0.9170149987705926,0.898728839086692,0.961897721825548,0.3227932751178741,0.9086128930486908,0.8742194469223907,0.927810650887574,0.9002181651165461,0.964088193004224,7.999999797903001e-05,0.8103787349012757,0.48008600201034546,0.777051081388092,0.8082497180747985,0.8763794959732054,0.892041852291565,0.3555328921218109,0.872433211439972,0.8866474453126525,0.9545195100102235,0.3657418457093048,0.8880352374044445,0.8793082234939151,0.871664419375461,0.87451717126182,0.9504859006986235,0.3555328957845306,0.8920418464023557,0.8724332190489137,0.8866474468733728,0.8786963180996257,0.9545417134598515,7.999999797903001e-05
6,0.8824432492256165,0.3744233548641205,0.8455356359481812,0.9062438011169434,0.9439006447792052,0.9091387391090392,0.3194383680820465,0.8731956481933594,0.9306508898735046,0.9651365280151368,0.325486958026886,0.9092777777777776,0.8816484677703417,0.9231620358986968,0.9019278121434148,0.9632690357154196,0.3194383978843689,0.909138710695131,0.8731956473462137,0.9306508875739644,0.9010082493125572,0.9652439204654892,7.999999797903001e-05,0.8334393794850647,0.44627395492355343,0.7989661388473205,0.8396078246482849,0.8979862635911253,0.8975128560731567,0.34398264442908627,0.872677191201056,0.9007285475721252,0.9579169557717957,0.35286028165093075,0.8948328503239111,0.8800571016623717,0.8881436566628964,0.8832885763439303,0.9545765039039983,0.34398265645647885,0.8975128429760438,0.8726771961040496,0.9007285478975621,0.8858361360877638,0.9579664197016555,7.999999797903001e-05
7,0.8874317407608032,0.3678120374679565,0.8515999913215637,0.910326600074768,0.94587641954422,0.9097697138786316,0.3170136511325836,0.8736959099769592,0.9315976500511168,0.965989589691162,0.3220672607421875,0.9113333333333332,0.8834154351395731,0.9259896729776248,0.9042016806722688,0.964274069432286,0.3170136213302612,0.9097696918708592,0.8736958934517203,0.9315976331360948,0.9017182130584191,0.9660189743291124,7.999999797903001e-05,0.850716935093301,0.42116614133776237,0.8158089716390783,0.8622378327847595,0.9133111134961156,0.9014350505709087,0.3353525665742054,0.8730031812093451,0.9106066603654025,0.9605001986259929,0.3430065149601329,0.9001130048869262,0.8811317683750761,0.9002543818836095,0.8899807697289988,0.9576797248730504,0.3353525652160892,0.9014350346223847,0.8730031792553041,0.9106066551738925,0.8909184007183735,0.9605432371824417,7.999999797903001e-05
8,0.8891472220420837,0.360318511724472,0.8526800274848938,0.913264274597168,0.9481126070022584,0.910400688648224,0.3140220940113067,0.8722136616706848,0.9353846311569214,0.966439425945282,0.3180047869682312,0.9143333333333332,0.8821006260143751,0.9354561101549054,0.9079952267303104,0.9650340129408528,0.3140220642089844,0.9104006730465874,0.8722136393732068,0.9353846153846154,0.9026952946550936,0.9665791560096572,7.999999797903001e-05,0.8630146269169114,0.40169489986150947,0.8276077095097393,0.8785662941647303,0.9244475914180814,0.9043040547556496,0.32852681535407785,0.8727505349569739,0.9185356110186886,0.9624007513681654,0.33500596200272437,0.9046635099897764,0.8814418028196518,0.9115189349304241,0.8957453959694185,0.9600330970547472,0.32852680489381564,0.9043040389181296,0.872750526493033,0.9185356024413238,0.8946870067781239,0.9624747312071507,7.999999797903001e-05
9,0.8922622203826904,0.3527044057846069,0.8552601337432861,0.9176458716392516,0.9504823088645936,0.9111368060112,0.3113113641738891,0.8729038238525391,0.9363313317298888,0.9672240614891052,0.3149527311325073,0.9156666666666666,0.8836696822083043,0.9366855175805262,0.9094055860587252,0.96566748922904,0.3113113939762115,0.9111368177516036,0.8729037952338923,0.9363313609467456,0.9035057668151192,0.9671363813499724,7.999999797903001e-05,0.8723738568259607,0.38601794175690063,0.8364564852644742,0.8910717589565771,0.9327787010009654,0.9064905351574257,0.32301787097641743,0.8727995874035547,0.9242302416462727,0.9639442106068661,0.3285889281242549,0.9081845201263814,0.8821547242240206,0.9195722413784567,0.9001166567979967,0.9618361025505209,0.3230178734001823,0.9064905281448413,0.872799572490108,0.9242302451630587,0.8975090099899623,0.9639664592528536,7.999999797903001e-05
10,0.8959414958953857,0.3471325635910034,0.8577638268470764,0.9236208200454712,0.9518691301345824,0.9118729829788208,0.3090075850486755,0.8730998039245605,0.9379881620407104,0.9677432179450988,0.3123493790626526,0.917,0.8840814437760296,0.9395131546594542,0.91095482179044,0.9662563051055773,0.3090075850486755,0.91187296245662,0.8730998017184401,0.9379881656804734,0.9043815609310816,0.9677138979345934,7.999999797903001e-05,0.8799155013281768,0.37357462074381353,0.8432748345709069,0.9014874585050232,0.9388876383237228,0.9082129184602722,0.31853457947954,0.8728956566902766,0.9286327761724926,0.9651598929551006,0.32339227242454216,0.9110054736859394,0.8827712744806635,0.9259533336283758,0.9035848695955785,0.9632505673681389,0.3185345811277001,0.9082129071246106,0.8728956458431743,0.9286327797286315,0.8997082262911205,0.9651656396310103,7.999999797903001e-05
