epoch,accuracy,loss,precision,recall,roc_auc,val_accuracy,val_loss,val_precision,val_recall,val_roc_auc,train_eval_loss,train_eval_accuracy,train_eval_precision,train_eval_recall,train_eval_f1,train_eval_roc_auc,val_eval_loss,val_eval_accuracy,val_eval_precision,val_eval_recall,val_eval_f1,val_eval_roc_auc,learning_rate
1,0.6492934823036194,0.6852573752403259,0.6203737854957581,0.5833997130393982,0.7062603235244751,0.8556104898452759,0.4451669156551361,0.8729079365730286,0.7900591492652893,0.930522620677948,0.4603908360004425,0.8432777777777778,0.8741022391212505,0.7630931890828621,0.8148342632097145,0.9216710273704025,0.4451669156551361,0.8556104742875171,0.872907949790795,0.7900591715976332,0.8294198037023233,0.9304886696021035,7.999999797903001e-05
2,0.792041003704071,0.5256093144416809,0.7599598169326782,0.7911770343780518,0.8697761297225952,0.8851613998413086,0.3600577712059021,0.8655775785446167,0.8778698444366455,0.9520418047904968,0.3732850253582001,0.882,0.8773229532898041,0.8589869682812884,0.8680581438688035,0.9473131815354519,0.3600578308105469,0.8851614260174572,0.8655775962660444,0.8778698224852071,0.8716803760282021,0.952027556674386,7.999999797903001e-05
3,0.839239776134491,0.45190736651420593,0.8043866157531738,0.8527683615684509,0.9122074246406555,0.8970448970794678,0.33563941717147827,0.8710562586784363,0.9017751216888428,0.9589450359344482,0.3458729684352875,0.8957777777777778,0.8817715959004392,0.8884927464961888,0.8851194121249234,0.9558899868017519,0.3356393575668335,0.8970449048270059,0.8710562414266118,0.901775147928994,0.8861495522735202,0.958931193420799,7.999999797903001e-05
4,0.8631890416145325,0.41120246052742004,0.8295342326164246,0.8788089752197266,0.9304211139678955,0.9032495617866516,0.32704025506973267,0.8734463453292847,0.9147928953170776,0.9623118042945862,0.3354872167110443,0.9022222222222223,0.8809466889792015,0.906073272682567,0.8933333333333333,0.9598095921293202,0.32704028487205505,0.9032495530550005,0.8734463276836159,0.914792899408284,0.8936416184971099,0.9623149935721997,7.999999797903001e-05
5,0.8745203614234924,0.3885536789894104,0.8387833833694458,0.8952897787094116,0.9388088583946228,0.9086129069328308,0.32279327511787415,0.8742194175720215,0.9278106689453125,0.963987410068512,0.32988911867141724,0.9066111111111111,0.8811577082102776,0.9170149987705926,0.898728839086692,0.9618977218255481,0.32279327511787415,0.9086128930486908,0.8742194469223907,0.927810650887574,0.9002181651165461,0.964088193004224,7.999999797903001e-05
6,0.8824432492256165,0.3744233548641205,0.8455356359481812,0.9062438011169434,0.9439006447792053,0.9091387391090393,0.3194383680820465,0.8731956481933594,0.9306508898735046,0.9651365280151367,0.325486958026886,0.9092777777777777,0.8816484677703417,0.9231620358986968,0.9019278121434148,0.9632690357154197,0.3194383978843689,0.909138710695131,0.8731956473462137,0.9306508875739645,0.9010082493125573,0.9652439204654892,7.999999797903001e-05
7,0.8874317407608032,0.36781203746795654,0.8515999913215637,0.9103266000747681,0.94587641954422,0.9097697138786316,0.3170136511325836,0.8736959099769592,0.9315976500511169,0.9659895896911621,0.3220672607421875,0.9113333333333333,0.8834154351395731,0.9259896729776248,0.9042016806722689,0.964274069432286,0.31701362133026123,0.9097696918708592,0.8736958934517203,0.9315976331360947,0.9017182130584193,0.9660189743291124,7.999999797903001e-05
8,0.8891472220420837,0.36031851172447205,0.8526800274848938,0.913264274597168,0.9481126070022583,0.9104006886482239,0.31402209401130676,0.8722136616706848,0.9353846311569214,0.966439425945282,0.3180047869682312,0.9143333333333333,0.8821006260143751,0.9354561101549054,0.9079952267303103,0.9650340129408528,0.3140220642089844,0.9104006730465874,0.8722136393732068,0.9353846153846154,0.9026952946550937,0.9665791560096573,7.999999797903001e-05
9,0.8922622203826904,0.35270440578460693,0.8552601337432861,0.9176458716392517,0.9504823088645935,0.9111368060112,0.31131136417388916,0.8729038238525391,0.9363313317298889,0.9672240614891052,0.3149527311325073,0.9156666666666666,0.8836696822083043,0.9366855175805262,0.9094055860587252,0.9656674892290401,0.31131139397621155,0.9111368177516037,0.8729037952338923,0.9363313609467455,0.9035057668151193,0.9671363813499725,7.999999797903001e-05
10,0.8959414958953857,0.3471325635910034,0.8577638268470764,0.9236208200454712,0.9518691301345825,0.9118729829788208,0.30900758504867554,0.8730998039245605,0.9379881620407104,0.9677432179450989,0.3123493790626526,0.917,0.8840814437760296,0.9395131546594542,0.9109548217904399,0.9662563051055773,0.30900758504867554,0.9118729624566201,0.8730998017184401,0.9379881656804734,0.9043815609310817,0.9677138979345934,7.999999797903001e-05
11,0.8969120979309082,0.34236350655555725,0.8582444190979004,0.925463080406189,0.9530969858169556,0.91397625207901,0.3069450855255127,0.8762977719306946,0.9389349222183228,0.9680862426757812,0.30971091985702515,0.9181666666666667,0.8848064702484113,0.9414802065404475,0.9122639823694085,0.9667738811457847,0.3069450855255127,0.9139762330423808,0.8762977689419041,0.9389349112426035,0.9065356489945156,0.96809569135808,7.999999797903001e-05
12,0.8994402289390564,0.3385442793369293,0.8594030141830444,0.930392324924469,0.9538745284080505,0.9149227142333984,0.30455341935157776,0.8767092823982239,0.9408283829689026,0.9684829115867615,0.3069077730178833,0.9184444444444444,0.884340405904059,0.9428325547086305,0.9126502439604903,0.9672442297975562,0.30455344915390015,0.9149227048059733,0.876709307454786,0.9408284023668639,0.9076378582029913,0.9684054575832368,7.999999797903001e-05
13,0.9017877578735352,0.33324697613716125,0.863063633441925,0.9310894012451172,0.95582115650177,0.9150278568267822,0.3026532828807831,0.8780703544616699,0.9391716122627258,0.9687927961349487,0.30476197600364685,0.9191111111111111,0.8858331407441645,0.9424637324809442,0.9132713843221348,0.9677152575766811,0.3026532828807831,0.9150278683352613,0.8780703695507855,0.9391715976331361,0.9075937785910339,0.968797911748765,7.999999797903001e-05
14,0.9028486013412476,0.32967135310173035,0.8647711277008057,0.931338369846344,0.9564188122749329,0.9154485464096069,0.3009294867515564,0.8778440356254578,0.9405916929244995,0.9689726233482361,0.30244195461273193,0.9195555555555556,0.8851382488479262,0.9445537251044996,0.9138812894016891,0.9681464660629966,0.3009295165538788,0.9154485224524135,0.8778440468301303,0.9405917159763314,0.9081352833638026,0.9691510376306277,7.999999797903001e-05
15,0.9026228785514832,0.32679909467697144,0.8622289896011353,0.9345250129699707,0.9572376608848572,0.916184663772583,0.2990879416465759,0.8805506229400635,0.9386982321739197,0.9692869782447815,0.300514817237854,0.9201666666666667,0.8870650791815975,0.9434472584214408,0.9143878462913315,0.9685647462074913,0.2990880012512207,0.9161846671574299,0.8805506216696269,0.938698224852071,0.9086951540840875,0.9694390568378808,7.999999797903001e-05
16,0.9046092629432678,0.32330673933029175,0.8653243780136108,0.9351224899291992,0.9580821990966797,0.9171311259269714,0.2974511384963989,0.8819737434387207,0.9391716122627258,0.9695612788200378,0.29860490560531616,0.9201111111111111,0.8872310895211658,0.9430784361937546,0.9143027413587604,0.9689302600257764,0.29745110869407654,0.9171311389210222,0.881973771949322,0.9391715976331361,0.9096744612563045,0.9696953401806951,7.999999797903001e-05
17,0.9051735997200012,0.3208650052547455,0.8647072315216064,0.9375124573707581,0.9582496285438538,0.9175518155097961,0.29547974467277527,0.8805574178695679,0.942248523235321,0.9697070717811584,0.29641208052635193,0.9214444444444444,0.8867403314917127,0.9471354806983034,0.9159434074426347,0.9692056368218317,0.29547974467277527,0.9175517930381744,0.880557398805574,0.9422485207100592,0.9103590212668649,0.9699264050454873,7.999999797903001e-05
